id,number,name,lat,lon
492,308,"ОПШТИНА ЃОРЧЕ ПЕТРОВ-КОН ЦЕНТАР",42.006225585938,21.351715087891
493,309,"ОПШТИНА ЃОРЧЕ ПЕТРОВ-КОН САРАЈ",42.006191253662,21.349264144897
494,310,"ЈУРИЈА-КОН ЦЕНТАР",42.005973815918,21.347013473511
495,311,"ЈУРИЈА-КОН САРАЈ",42.006286621094,21.343713760376
496,312,"ДЕКСИОН-КОН ЦЕНТАР",42.006866455078,21.341033935547
497,313,"ДЕКСИОН -КОН САРАЈ",42.007129669189,21.33911895752
498,314,"ЃОРЧЕ ПЕТРОВ АДИНГ",42.00764465332,21.340106964111
499,315,"ДЕКСИОН Т",42.010620117188,21.340103149414
500,316,"ЃОРЧЕ ПЕТРОВ МАКПЕТРОЛ-КОН ЦЕНТАР",42.0068359375,21.334447860718
501,317,"ЃОРЧЕ ПЕТРОВ МАКПЕТРОЛ-КОН САРАЈ",42.006885528564,21.334218978882
502,318,"САРАЈ РЕКРЕАТИВЕН ЦЕНТАР-КОН ЃОРЧЕ ПЕТG",42.002914428711,21.331537246704
503,319,"САРАЈ РЕКРЕАТИВЕН ЦЕНТАР-КОН МАТКА",42.002979278564,21.331527709961
504,320,"САРАЈ ПАТ ЗА ЉУБИН-КОН ЃОРЧЕ ПЕТРОВ",41.999526977539,21.327842712402
505,321,"САРАЈ ПАТ ЗА ЉУБИН-КОН МАТКА",42.000198364258,21.32861328125
506,322,"САРАЈ Т-ПОЧЕТНА",41.99772644043,21.325668334961
507,323,"САРАЈ Т-КРАЈНА",41.997886657715,21.325639724731
508,324,"ЕЗЕРО ТРЕСКА-КОН САРАЈ",41.991065979004,21.317113876343
509,325,"ЕЗЕРО ТРЕСКА-КОН МАТКА",41.990821838379,21.316982269287
510,326,"ГЛУМОВО-КОН САРАЈ",41.981559753418,21.307779312134
511,327,"ГЛУМОВО-КОН МАТКА",41.981616973877,21.307746887207
